name,popularity,total_rating,esrb
Cake Mania: Main Street,1.333333333,54.43632467,
Road Trip,2.666666667,NaN,
Blood of Bahamut,1.333333333,50,
Damnation,1.666666667,70,6
DaGeDar,1.333333333,69.98511836,3
Quiz Magic Academy DS: Futatsu no Jikuu Koku,1.333333333,60,
Atelier Lilie: The Alchemist of Salburg 3,1.666666667,50,
Supremacy MMA,1.333333333,70,6
Top Gun: Firestorm Advance,1.333333333,71.5,
Justice League Heroes,1.333333333,NaN,5
Project Eden,2,72.7807512,5
Disney Art Academy,1.333333333,NaN,
Pipe Mania,1.666666667,63.75,
Nerf N-Strike,2.333333333,NaN,4
Space Chimps,1.333333333,64.66824793,4
Sega Casino,5.333333333,NaN,
Ben 10: Galactic Racing,3.666666667,NaN,4
Ghosthunter,1.666666667,56.5,5
Junior Mystery Quest,2,48.5,3
Battlefield 3: Aftermath,2,NaN,6
Family Gameshow,1.666666667,NaN,4
Family Party 90 Great Games,1.333333333,71.40545565,
7: Molmorth no Kiheitai,3,NaN,
Doraemon: Nobita's Treasure Island,2.666666667,NaN,
Jimmie Johnson's Anything with an Engine,3,NaN,4
Hello Kitty's Cube Frenzy,1.333333333,75,3
Are You Smarter Than a 5th Grader?,1.333333333,NaN,
Spectral Force Genesis,3,NaN,
Jikkyou Powerful Pro Yakyuu 2012 Ketteiban,1,NaN,
Agatha Christie: Evil Under the Sun,1.333333333,80.5,5
World Championship Pool 2004,1.333333333,NaN,3
Astro Boy: Omega Factor,4.333333333,NaN,3
Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Hōdai!,7.333333333,72.06949952,
Fullmetal Alchemist: Dual Sympathy,1.333333333,73.5,5
Cardfight!! Vanguard: Ride to Victory!!,1.333333333,74.71587722,
Last Rebellion,2.333333333,88.9033801,5
How to Train Your Dragon 2,1.333333333,NaN,
Quantum Theory,1.333333333,73.125,
Jikkyou Powerful Pro Yakyuu 2010,1.333333333,40,
Reading Blaster 2000,1,59.41510739,
Kanji Trainer Portable,1.666666667,71.5,
Bass Pro Shops: The Hunt,1.333333333,86.29753742,5
Rugby 2005,7,NaN,3
Carnival Games: Wild West 3D,1.666666667,40,
Ochaken no Heya,1.666666667,NaN,
Ratchet & Clank Future: Quest for Booty,1.666666667,83.33333333,4
V-Rally Edition '99,1.333333333,75.20608295,
Strongest Habu Shogi,1.333333333,NaN,
Castlevania: Dracula X,2,68.5,
Golden Nugget 64,13,70,3
Robotron 64,1.333333333,65,5
Batman Beyond: Return of the Joker,1.333333333,89.31935491,3
Inazuma Eleven 3,1,67.84641771,
Ski-Doo: Snowmobile Challenge,1.666666667,70.04829681,3
Naruto RPG 2: Chidori vs. Rasengan,8,72.5,
Tunnel B1,1.333333333,NaN,
2 In 1 Game Pack: Spider-Man + Spider-Man 2,1.666666667,NaN,3
Winter Stars,1.666666667,81.57792779,
Go Play City Sports,1.333333333,66,3
Porsche Challenge,1.333333333,80,
Dragon Ball Z - Shin Butouden,1.333333333,58.5,
Beowulf: The Game,1.666666667,48.33333333,
Super Robot Wars MX Portable,1.333333333,60,
Mimana Iyar Chronicle,3.333333333,NaN,
Detana!! TwinBee Yahho! Deluxe Pack,1.333333333,65.7,
Shin Ken to Mahou to Gakuen Mono. Toki no Gakuen,1.666666667,NaN,
Super Robot Taisen OG: The Moon Dwellers,2.333333333,72.83044297,
Uta no Prince-sama MUSIC,1.333333333,30,
Jambo! Safari Animal Rescue,1.666666667,NaN,
Supreme Commander,1.333333333,74.18621487,
Rurouni Kenshin: Juuyuushi Inbou Hen,1.333333333,65.8523357,
Bleach: Heat the Soul 6,1.333333333,67.5,
Roary the Racing Car,2.333333333,59.66666667,
Ski and Shoot,4.333333333,NaN,3
Disgaea 1 Complete,1.333333333,75.5,1
Scrabble,1.333333333,68.45858672,3
Samurai Warriors 4: Empires,2.666666667,65.5,
Action Man: Operation Extreme,2,80,5
BlazBlue: Continuum Shift Extend,1.333333333,70,5
Tornado Outbreak,1.333333333,65,4
Mystic Heroes,3.333333333,73.92843619,
Pachitte Chonmage Tatsujin 12: Pachinko Ultraman,1.333333333,50,
Defender,1.333333333,NaN,3
The Sims 2: Apartment Life,1.333333333,67.5,5
MLB Superstars,8,77.5,3
Captain Tsubasa: Aratanaru Densetsu Joshou,1.666666667,80.05615743,
Remington Super Slam Hunting Alaska,14.33333333,60,
Blood: The Last Vampire - Last Volume,1,76,
Clockwork Knight,1.333333333,57.10201304,
MotoGP 14,2,62,3
Freestyle Metal X,1.333333333,85.14493361,
Prinny: Can I Really Be the Hero?,1.333333333,80,
Sidewinder,1.333333333,60,
iPyramid - Pyramid Solitaire,2,74.33325568,
Burnout Paradise: The Ultimate Box,6.333333333,55,
Kenka Bancho 2: Full Throttle,2,62.5,
Zoids Assault,1.666666667,69.47766063,
Pro Yakyuu Spirits 2014,1.333333333,74.375,
Dark Angel: Vampire Apocalypse,2.333333333,58.92042184,
The Mummy: Tomb of the Dragon Emperor,2.333333333,NaN,5
Spider-Man: Edge of Time,1.333333333,76.79379707,5
Mom-chan Diet Wii Figureobics by Jung Da-yeon,1.333333333,75.17269683,
Karaoke Revolution Presents: American Idol Encore 2,6,57.40909091,
Atelier Totori: The Adventurer of Arland,1.333333333,60,5
Mad Dog McCree: Gunslinger Pack,1.333333333,85.83340711,
No More Heroes,1.333333333,63.83804836,6
PopCap Hits! Vol 2,5.666666667,59,
Bakugan: Rise of the Resistance,1.333333333,NaN,4
Thomas & Friends: The Great Festival Adventure,1.333333333,78.67918428,
Super Puzzle Fighter II,2,78.95023472,
The Mummy: Tomb of the Dragon Emperor,1.666666667,NaN,5
Battle Stadium D.O.N,1.666666667,70,
Deadliest Catch: Sea of Chaos,3.666666667,NaN,
Karaoke Revolution Presents: American Idol Encore 2,1.333333333,NaN,
Crysis 2: Maximum Edition,2.666666667,73.5,
Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan!,1.666666667,100,
Wacky World of Sports,1.333333333,77.03384348,
Kurikin: Nano Island Story,2.333333333,60,
TransWorld Snowboarding,1.333333333,87.40757703,5
NFL Blitz 20-02,1.333333333,45,3
Sniper Elite,1.333333333,NaN,6
Data East Arcade Classics,4.666666667,76.02697642,5
World Soccer Winning Eleven 9,1.666666667,57,
Test Drive: Eve of Destruction,1.333333333,NaN,5
Crimson Sea,1.333333333,60,5
Naruto Shippūden: Gekitō Ninja Taisen! EX 2,1.666666667,NaN,
The Weakest Link,1.666666667,78.30512622,
Dreamer Series: Teacher,1.333333333,86.25,
Lethal Enforcers,2,NaN,
Knights in the Nightmare,1.333333333,NaN,
Romance of the Three Kingdoms XII,1.333333333,60,
El Tigre: The Adventures of Manny Rivera,1.333333333,NaN,3
Ikaruga,2,73.45509545,4
Back to the Future: The Game,1.666666667,70.26110859,5
Hyperdimension Neptunia Re;Birth 3: V Century,2.666666667,NaN,
The Suffering: Ties That Bind,1.333333333,NaN,6
Nobunaga's Ambition: Iron Triangle,1.333333333,50,4
Little League World Series Baseball 2008,2.666666667,59.20704505,3
Jikkyou Powerful Pro Yakyuu 2012,1.333333333,74.66669503,
Harvest Moon: Boy & Girl,15.33333333,76.32550586,3
Mahjong Cub3d,1.666666667,64,
F1 2016,1.333333333,47.5,3
Major League Baseball 2K12,1.333333333,87.23259094,3
Happy Feet Two,1.333333333,60,3
Viewtiful Joe: Red Hot Rumble,1,NaN,5
The Ant Bully,1.666666667,59.6,4
Major League Baseball 2K9 Fantasy All-Stars,1.333333333,NaN,
RollerCoaster Tycoon 3: Platinum,1.333333333,70,
Age of Mythology,1.333333333,58.4375,
Sengoku Basara 4: Sumeragi,1,72,
Shrek Smash n' Crash Racing,1.333333333,47.5,3
The Smurfs 2,1.333333333,60.49859179,
Digimon World Re:Digitize Decode,1.666666667,69.30776964,
The Bachelor: The Videogame,1.333333333,67.5,5
Harvey Birdman: Attorney at Law,1.333333333,72.53304072,5
Digimon World 4,1.333333333,63.3330035,3
Resident Evil: Revelations 2,2.333333333,59.42433687,6
Jumper: Griffin's Story,1.333333333,71,5
My Stop Smoking Coach with Allen Carr,1.333333333,61.83333333,3
Star Wars: Empire At War,3,66.23635482,5
Ford Racing 3,2.666666667,66,3
MLB SlugFest 2004,2.666666667,60,
Ty the Tasmanian Tiger 3: Night of the Quinkan,1.666666667,65,4
Sotsugyou Crossworld,1.666666667,NaN,
R: Racing Evolution,1.333333333,80.95266022,5
Bionicle: Tales of the Tohunga,1.666666667,68.46600417,3
Bomberman Land Touch!,1.333333333,NaN,
Battle Fantasia,1.333333333,70.83333333,5
LEGO Star Wars: The Force Awakens,1.333333333,NaN,4
Bleach GC: Tasogare ni Mamieru Shinigami,1.333333333,66.24893986,
Shellshock 2: Blood Trails,1.333333333,39.5,
F.E.A.R. Files,13,61.04753885,6
Spongebob HeroPants,1.333333333,60,3
Elimination,1.333333333,86.5,
Spectral Force 3,1.333333333,77,5
Hyperdimension Neptunia Mk2,15,NaN,6
Bella Sara,1.333333333,70,
Jikkyou Powerful Pro Yakyuu 2012 Ketteiban,1.666666667,49,
Karaoke Revolution,1.333333333,89,
Escape Dead Island,1.333333333,56,
Red Faction: Armageddon,1.333333333,60.65267069,6
Fire Pro Wrestling Returns,1.333333333,NaN,
Brain Voyage,2,NaN,3
Jimmy Neutron: Boy Genius,8.333333333,60.75,3
Adventure Time: Finn and Jake Investigations,9,68.28571429,1
Derby Stallion III,1.333333333,NaN,
Puss In Boots,1.333333333,NaN,4
Pac-Man and the Ghostly Adventures,1.333333333,50,
Rollcage Stage II,2.333333333,82.87665886,3
Samurai Warriors 2 Xtreme Legends,1.333333333,88.96329721,5
Karaoke Joysound Wii,1,62.5,
Sloane and MacHale's Mysterious Stories 2,1.333333333,65,
Hunter's Trophy 2: America,1.333333333,NaN,
Invasion From Beyond,1,78.18159117,3
50 Cent: Bulletproof,7.333333333,30,6
Forgotten Realms: Demon Stone,1.333333333,40,5
Counter-Strike: Source,1.333333333,81.33333333,6
My Make-Up,2.666666667,71.875,
Major League Baseball 2K7,1.666666667,100,3
The Penguins of Madagascar: Dr. Blowhole Returns – Again!,2.666666667,NaN,3
LEGO Star Wars II: The Original Trilogy,5,49.52022879,3
The Nightmare Before Christmas: Oogie's Revenge,1,NaN,4
Knights in the Nightmare,1.333333333,NaN,
Mahjong Master,2.333333333,NaN,
Adventure Time: The Secret of the Nameless Kingdom,1.333333333,68.33333333,4
Stranger of Sword City: Black Palace,1,79.32649359,
Justin Time GO PLAY!,6,55,
Top Gear Rally,1.333333333,NaN,3
Busy Scissors,6,35.33333333,
Knights Contract,1.333333333,NaN,6
Gray Matter,14.33333333,80.81527873,5
L the Prologue to Death Note -Spiraling Trap-,2,66.23530491,
Famicom Yakyuuban,1,59,
Might and Magic V: Darkside of Xeen,1.333333333,81.5914371,5
XIII,3.333333333,70,6
Pro Evolution Soccer 2013,1.666666667,NaN,3
Dynasty Warriors 8: Empires,1.666666667,NaN,5
The Incredibles: Rise of the Underminer,5.333333333,50,4
Theme Hospital,1.333333333,61.14285714,3
Princess Isabella: A Witch's Curse,4.666666667,77.30769231,
BlackSite: Area 51,5,79.76470588,5
Wizardry: Tale of the Forsaken Land,1.666666667,73.5,
Cloudy with a Chance of Meatballs,1.333333333,NaN,3
Charlotte's Web,2,62.5,3
ChuChu Rocket!,1.333333333,NaN,3
FIFA 12,1.333333333,NaN,3
