name,esrb,popularity,hypes,total_rating
Aegis of Earth: Protonovus Assault,NaN,3.0,NaN,80.0
Hello Kitty: Roller Rescue,"{'synopsis': '', 'rating': 3}",1.333333333333333,NaN,45.0
ATV: Thunder Ridge Riders / Monster Trucks Mayhem,NaN,3.666666666666667,NaN,80.125
A Game of Thrones: Genesis,NaN,1.333333333333333,NaN,NaN
Hotel Giant 2,"{'synopsis': 'This is a simulation game in which players can build a hotel from scratch and manage its daily operations. Players design room layouts, upgrade hotel offerings (e.g., bars, spas, and restaurants), and address complaints to keep guests happy. From a top-down perspective, players have the ability to view hotel patrons as they navigate around the hotel and use its facilities. This can include a view of guests who enter the restroom, sit on toilets, and commence a ""wiping action."" Players can also add a bar to the hotel, where guests can order and drink wine.', 'rating': 3}",2.333333333333333,NaN,NaN
NHRA Drag Racing: Countdown to the Championship,{'rating': 3},3.0,NaN,48.11572029023435
Black Stone: Magic & Steel,{'rating': 5},22.66666666666667,NaN,NaN
MLB 15: The Show,"{'synopsis': ""This is a baseball simulation game in which players compete with Major League Baseball teams in a number of different modes (e.g., Franchise, Road To the Show, Home Run Derby). Players can adjust athlete's power and precision while pitching or batting, and can initiate defensive strategies while fielding."", 'rating': 3}",1.333333333333333,NaN,72.1428571428571
Puyo Pop Fever,{'rating': 3},1.333333333333333,NaN,67.0
Hitman: Blood Money,"{'synopsis': ""This is an action game in which players control Agent 47, a master assassin tasked with eliminating targets while evading an organization known as the Franchise. Players use machine guns, sniper rifles, shotguns, and explosives to complete mission objectives and kill human adversaries. Players can also employ stealth tactics (e.g., poisoning a character's food/drink; slitting their throats from behind; strangling them with fiber wire) to eliminate adversaries at close range. Violent encounters are accompanied by realistic gunfire/explosions, large blood-splatter effects, and characters pleading for their lives; dead bodies incur additional damage when shot. Non-adversaries can be injured/killed at will (this may negatively affect players' score), and some sequences allow players to kill police officers. Some sequences reference sexuality/prostitution (e.g., “This little bad boy can transform even the most ardent Buddhist monk into a sex-craving lunatic,”“Rumor has it she killed a John trying to rape her,”“The press published photographs of one of his orgies . . .”). Some party scenes feature women in skimpy lingerie (e.g., string bikinis, thin strips of cloth), and other missions portray women performing lap dances while men caress their chest and buttocks. In a couple of sequences, characters can be observed snorting cocaine off nearby tables. The words “f**k” and “sh*t” can be heard in the dialogue."", 'rating': 6}",3.0,NaN,78.6037772059739
Assassin's Creed Chronicles: China,NaN,2.0,NaN,NaN
The Cursed Crusade,"{'synopsis': 'Blood and Gore\nIntense Violence', 'rating': 6}",1.333333333333333,NaN,73.10627465644164
Harukanaru Toki no Naka de 5,NaN,1.333333333333333,NaN,NaN
Painkiller: Hell Wars,{'rating': 6},1.333333333333333,NaN,73.25
Housekeeping VR,NaN,1.333333333333333,NaN,58.5
Digital Hitz Factory,NaN,1.333333333333333,NaN,NaN
Star Wars: Jedi Knight - Jedi Academy,{'rating': 5},3.666666666666667,NaN,77.24470497981821
Greg Hastings Paintball 2,{'rating': 4},3.0,NaN,67.5
Sangoku Rensenki: Otome no Heihou!,NaN,1.666666666666667,NaN,78.9013661516797
Batman: The Telltale Series,"{'synopsis': ""This is an action game featuring characters and storylines from the Batman universe. As Batman/Bruce Wayne, players can engage in fistfights and interrogations with a variety of thugs/villains. During action sequences, players must match timed button presses in order to successfully punch, kick, or throw enemies; some sequences allow players to impale enemies on rebar or to break enemies' bones. During detective sequences, players sometimes analyze bloody, mutilated corpses; one scene depicts human entrails and viscera on the ground. The word “sh*t” appears in the dialogue."", 'rating': 6}",2.666666666666667,NaN,NaN
Castlevania: Bloodlines,NaN,1.333333333333333,NaN,65.0
Hakuoki Zuisouroku,NaN,3.333333333333333,NaN,NaN
Might and Magic V: Darkside of Xeen,{'rating': 5},1.0,NaN,NaN
Detective Conan,NaN,1.666666666666667,NaN,69.2546411597052
Luminous Arc 3,NaN,1.333333333333333,NaN,NaN
Major League Baseball 2K8,{'rating': 3},1.333333333333333,NaN,74.1860545779994
PASKA BATTLE STYLE!,NaN,1.333333333333333,NaN,79.37322453242174
Rebel Raiders: Operation Nighthawk,{'rating': 4},1.333333333333333,NaN,74.07142412741871
TURBO: Super Stunt Squad,{'rating': 3},1.333333333333333,NaN,30.0
BoBoBo~Bo Bo~BoBo: Hajike Matsuri!,NaN,1.666666666666667,NaN,83.80034518294045
Adventure Time: Explore the Dungeon Because I Don't Know!,"{'synopsis': 'This is an action game in which players interact with the characters and settings from the animated TV show Adventure Time. From a distant perspective, players guide characters through dungeon-like settings and battle various villains. Characters punch, kick, stomp/pound, and sometimes use swords to defeat a variety of fantastical enemies (e.g., fairies, worms, carnivorous plants, birds). Fighting sequences are “cartoony” though frenetic, with multiple enemies attacking characters at once. During the course of the game, players can access a sub-weapon (Poot Newt) that shoots puffs of smoke accompanied by flatulence sounds.', 'rating': 4}",1.666666666666667,NaN,70.0
Fast Beat Loop Racer GT,NaN,1.333333333333333,NaN,NaN
Alienators: Evolution Continues,{'rating': 3},3.666666666666667,NaN,65.0
Onechanbara Z: Kagura,NaN,1.333333333333333,NaN,60.0
Marines Modern Urban Combat,{'rating': 5},1.333333333333333,NaN,79.85794344901339
Hyakumasu Dora-San Nobita no Time Battle,NaN,1.333333333333333,NaN,70.0
Ultra Hot!! Pachi Game Spirit CR Evangelion ~The First Gospel~,NaN,5.666666666666667,NaN,51.75476529330805
Supreme Ruler: Cold War,NaN,1.666666666666667,NaN,55.0
Europe 1300,{'rating': 3},1.666666666666667,NaN,NaN
Top Gun: Hard Lock,NaN,1.333333333333333,NaN,60.0
MX World Tour,NaN,2.666666666666667,NaN,77.54175927432024
XBlaze Code: Embryo,"{'synopsis': ""This is an interactive story game (i.e., visual novel) in which players follow a high-school student's quest to solve a mysterious attack. Still-frame cutscenes sometimes show characters attacking and killing enemies with swords and magic attacks. Characters are sometimes depicted with blood stains on their clothing; one crime scene depicts a corpse lying in a pool of blood. During the course of the game, female characters often wear outfits that reveal large amounts of cleavage; the dialogue also includes suggestive material (e.g., “Es, your boobs are spectacularly huge” and “Wait, why are you touching me there?”); an extended pool sequence depicts several bikini-clad women in suggestive poses (e.g., on knees, bending over). A handful of female characters are nearly topless (e.g., steam, bright lights obscuring detail) or have their buttocks exposed. The words “f**k,” “sh*t,” and “a*shole” can be heard in dialogue."", 'rating': 6}",3.0,NaN,85.66797560890615
The Idolmaster: Gravure for You! Vol. 4,NaN,19.33333333333333,NaN,60.0
RedCard 20-03,NaN,1.333333333333333,NaN,NaN
Katekyoo Hitman Reborn! DS Fate of Heat II - Unmei no Futari,NaN,1.666666666666667,NaN,60.0
Puyo Puyo 7,NaN,1.333333333333333,NaN,NaN
Asterix & Obelix XXL2: Mission: Las Vegum,NaN,1.333333333333333,NaN,79.5979360878098
Radiant Silvergun,NaN,4.333333333333334,NaN,67.93333333333335
Bounty Hounds,{'rating': 5},2.333333333333333,NaN,NaN
Care Bears: The Care Quests,NaN,2.333333333333333,NaN,69.0
Apache: Air Assault,{'rating': 5},1.333333333333333,NaN,77.95
Cooking Mama: Sweet Shop,NaN,1.0,NaN,NaN
Championship Manager: Season 01/02,NaN,1.333333333333333,NaN,50.8562995397824
I am your Guignol,NaN,1.333333333333333,NaN,NaN
Tokyo Majin Gakuen: Kenfuuchou,NaN,1.333333333333333,NaN,NaN
Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken,NaN,1.333333333333333,NaN,70.0
Zatch Bell! Electric Arena,NaN,5.333333333333333,NaN,60.0
Boulder Dash: Rocks!,NaN,1.333333333333333,NaN,80.04073861047681
NHRA Drag Racing: Countdown to the Championship,{'rating': 3},16.66666666666666,NaN,NaN
The Void,NaN,4.666666666666666,NaN,74.7750152662721
TOCA Race Driver 3,NaN,1.333333333333333,NaN,NaN
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune,NaN,1.333333333333333,NaN,76.5
Maximum Racing: Drag & Stock Racer,NaN,1.333333333333333,NaN,78.04166666666666
Sky Dancers,{'rating': 3},2.666666666666667,NaN,90.0
