name,popularity,total_rating,esrb
Cake Mania: Main Street,1.333333333333333,54.43632467388605,
Road Trip,2.666666666666667,NaN,
Blood of Bahamut,1.333333333333333,50.0,
Damnation,1.666666666666667,70.0,6.0
DaGeDar,1.333333333333333,69.9851183555783,3.0
Quiz Magic Academy DS: Futatsu no Jikuu Koku,1.333333333333333,60.0,
Atelier Lilie: The Alchemist of Salburg 3,1.666666666666667,50.0,
Supremacy MMA,1.333333333333333,70.0,6.0
Top Gun: Firestorm Advance,1.333333333333333,71.5,
Justice League Heroes,1.333333333333333,NaN,5.0
Project Eden,2.0,72.78075120156649,5.0
Disney Art Academy,1.333333333333333,NaN,
Pipe Mania,1.666666666666667,63.75,
Nerf N-Strike,2.333333333333333,NaN,4.0
Space Chimps,1.333333333333333,64.6682479274789,4.0
Sega Casino,5.333333333333333,NaN,
Ben 10: Galactic Racing,3.666666666666667,NaN,4.0
Ghosthunter,1.666666666666667,56.5,5.0
Junior Mystery Quest,2.0,48.5,3.0
Battlefield 3: Aftermath,2.0,NaN,6.0
Family Gameshow,1.666666666666667,NaN,4.0
Family Party 90 Great Games,1.333333333333333,71.40545564583965,
7: Molmorth no Kiheitai,3.0,NaN,
Doraemon: Nobita's Treasure Island,2.666666666666667,NaN,
Jimmie Johnson's Anything with an Engine,3.0,NaN,4.0
Hello Kitty's Cube Frenzy,1.333333333333333,75.0,3.0
Are You Smarter Than a 5th Grader?,1.333333333333333,NaN,
Spectral Force Genesis,3.0,NaN,
Jikkyou Powerful Pro Yakyuu 2012 Ketteiban,1.0,NaN,
Agatha Christie: Evil Under the Sun,1.333333333333333,80.5,5.0
World Championship Pool 2004,1.333333333333333,NaN,3.0
Astro Boy: Omega Factor,4.333333333333334,NaN,3.0
Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Hōdai!,7.333333333333333,72.0694995161121,
Fullmetal Alchemist: Dual Sympathy,1.333333333333333,73.5,5.0
Cardfight!! Vanguard: Ride to Victory!!,1.333333333333333,74.7158772193907,
Last Rebellion,2.333333333333333,88.90338009703751,5.0
How to Train Your Dragon 2,1.333333333333333,NaN,
Quantum Theory,1.333333333333333,73.125,
Jikkyou Powerful Pro Yakyuu 2010,1.333333333333333,40.0,
Reading Blaster 2000,1.0,59.4151073936217,
Kanji Trainer Portable,1.666666666666667,71.5,
Bass Pro Shops: The Hunt,1.333333333333333,86.29753742403621,5.0
Rugby 2005,7.0,NaN,3.0
Carnival Games: Wild West 3D,1.666666666666667,40.0,
Ochaken no Heya,1.666666666666667,NaN,
Ratchet & Clank Future: Quest for Booty,1.666666666666667,83.3333333333333,4.0
V-Rally Edition '99,1.333333333333333,75.20608294828826,
Strongest Habu Shogi,1.333333333333333,NaN,
Castlevania: Dracula X,2.0,68.5,
Golden Nugget 64,13.0,70.0,3.0
Robotron 64,1.333333333333333,65.0,5.0
Batman Beyond: Return of the Joker,1.333333333333333,89.3193549143478,3.0
Inazuma Eleven 3,1.0,67.84641771375371,
Ski-Doo: Snowmobile Challenge,1.666666666666667,70.04829681166345,3.0
Naruto RPG 2: Chidori vs. Rasengan,8.0,72.5,
Tunnel B1,1.333333333333333,NaN,
2 In 1 Game Pack: Spider-Man + Spider-Man 2,1.666666666666667,NaN,3.0
Winter Stars,1.666666666666667,81.5779277939198,
Go Play City Sports,1.333333333333333,66.0,3.0
Porsche Challenge,1.333333333333333,80.0,
Dragon Ball Z - Shin Butouden,1.333333333333333,58.5,
Beowulf: The Game,1.666666666666667,48.3333333333333,
Super Robot Wars MX Portable,1.333333333333333,60.0,
Mimana Iyar Chronicle,3.333333333333333,NaN,
Detana!! TwinBee Yahho! Deluxe Pack,1.333333333333333,65.7,
Shin Ken to Mahou to Gakuen Mono. Toki no Gakuen,1.666666666666667,NaN,
Super Robot Taisen OG: The Moon Dwellers,2.333333333333333,72.83044296574005,
Uta no Prince-sama MUSIC,1.333333333333333,30.0,
Jambo! Safari Animal Rescue,1.666666666666667,NaN,
Supreme Commander,1.333333333333333,74.18621487408126,
Rurouni Kenshin: Juuyuushi Inbou Hen,1.333333333333333,65.8523357029335,
Bleach: Heat the Soul 6,1.333333333333333,67.5,
Roary the Racing Car,2.333333333333333,59.6666666666667,
Ski and Shoot,4.333333333333334,NaN,3.0
Disgaea 1 Complete,1.333333333333333,75.5,1.0
Scrabble,1.333333333333333,68.4585867210038,3.0
Samurai Warriors 4: Empires,2.666666666666667,65.5,
