name,popularity,total_rating,esrb
Yu-Gi-Oh! The Dawn of Destiny,1.333333333333333,65.0,3.0
The Matrix: Path of Neo,25.0,65.0,5.0
Mortal Kombat: Shaolin Monks,2.0,60.06502009096895,6.0
Happy Feet,5.666666666666667,NaN,3.0
Einhänder,2.666666666666667,72.5,3.0
Tiny Toon Adventures: The Great Beanstalk,1.333333333333333,63.34204885787155,3.0
Foto Frenzy,1.333333333333333,74.62368460310405,3.0
Metro: Last Light,1.666666666666667,88.58904387595135,6.0
Dark Void,2.0,79.57798331690965,5.0
Pro Evolution Soccer 2013,1.333333333333333,70.7637944880903,3.0
Armored Core: Silent Line,2.0,NaN,
SD Gundam G Generation Wars,1.666666666666667,65.1666666666667,
Dr. Seuss: How the Grinch Stole Christmas!,1.333333333333333,65.3,3.0
Panzer Dragoon II Zwei,1.666666666666667,69.0,3.0
Kiss Pinball,2.333333333333333,72.67268378735095,5.0
Brothers in Arms: Earned in Blood,4.333333333333334,NaN,6.0
2 Games In 1: Disney's Brother Bear + Disney Princess,1.333333333333333,NaN,
Super Robot Taisen: Complete Box,2.0,83.6698459510553,
Mega Man: Maverick Hunter X,4.666666666666666,40.0,4.0
Cabela's Outdoor Adventures,1.333333333333333,46.5,
Lord of Arcana,1.333333333333333,64.03707874975375,5.0
Jikkyou Powerful Pro Yakyuu 8,2.333333333333333,74.0,
Goemon's Great Adventure,1.333333333333333,NaN,
Hot Wheels Turbo Racing,5.666666666666667,72.5,3.0
Vigilante 8,1.333333333333333,NaN,3.0
Bass Hunter 64,1.333333333333333,84.5158485894797,3.0
Doubutsu no Mori,4.0,NaN,
Football Manager 2016,1.333333333333333,NaN,
Naruto: Ninja Destiny,1.333333333333333,45.87100939110425,5.0
Tron: Evolution,1.333333333333333,66.5,5.0
Disney Infinity 3.0,1.333333333333333,71.0,4.0
Taiko Drum Master,2.0,65.0,
Calvin Tucker's Redneck Jamboree,3.333333333333333,60.0,4.0
MySims SkyHeroes,1.333333333333333,NaN,4.0
J-League Jikkyo Winning Eleven 97,2.333333333333333,79.9189357471151,
Shrek's Carnival Craze Party Games,1.333333333333333,83.6953454141886,
Harvest Moon: Magical Melody,2.666666666666667,60.0,3.0
Star Wars: Jedi Knight II - Jedi Outcast,2.333333333333333,61.0468222006203,5.0
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,4.333333333333334,52.1963216774973,
Mega Man Battle Network 2,1.333333333333333,80.60499002657195,3.0
Little King's Story,5.666666666666667,NaN,5.0
Mountain King,1.666666666666667,64.5946181741035,
Jampack: Volume 12,2.0,80.8973766576525,
Madagascar,2.0,76.44378582750335,4.0
Tiger Woods PGA Tour 06,2.333333333333333,58.3197046091074,
Shaun White Snowboarding,5.333333333333333,30.0,5.0
Shin Megami Tensei: Devil Summoner: Soul Hackers,1.333333333333333,53.3333333333333,
Major League Baseball 2K8,1.333333333333333,56.6666666666667,3.0
Rapala Pro Bass Fishing,1.333333333333333,65.16666666666666,3.0
The Lord of the Rings: The Battle for Middle-earth II,1.333333333333333,62.02023496273545,5.0
Demolition Racer,9.666666666666666,70.19545115652986,
Midway Arcade Treasures 2,1.333333333333333,77.6666666666667,6.0
Final Fantasy IV,2.0,NaN,4.0
Math Play,2.0,67.35413282594695,
Kingdoms of Amalur: Reckoning,3.666666666666667,NaN,6.0
NASCAR Thunder 2003,1.333333333333333,66.25,3.0
SD Gundam G Generation Overworld,2.0,NaN,
Sorcery,2.0,76.98018013731185,
TouchMaster,1.666666666666667,74.0,
NHL FaceOff 2000,1.333333333333333,NaN,3.0
Star Wars: Racer Revenge,3.333333333333333,78.19338161673531,3.0
NBA Live 08,4.666666666666666,74.0,3.0
The King of Fighters XIII,2.0,78.3748893884904,
NCAA Final Four 2002,1.333333333333333,80.99137391438475,
South Park: Chef's Luv Shack,3.0,81.20838384075505,6.0
Music Maker,1.333333333333333,84.0,
Slot Machine,3.0,85.0,
