name,popularity,total_rating,esrb
Wii Sports,3.0,75.99885991000349,3.0
Super Mario Bros.,13.0,84.8355249320341,3.0
Mario Kart Wii,6.333333333333333,75.6581415674599,3.0
Wii Sports Resort,1.666666666666667,84.64624643517566,3.0
Pokémon Project Studio Red/Blue Version,1.0,88.1532608844398,
Tetris,1.333333333333333,64.15844282191965,
New Super Mario Bros.,1.0,81.54166496947289,3.0
Wii Play,2.0,69.06435404594019,3.0
New Super Mario Bros. Wii,1.333333333333333,73.8217266044991,3.0
Duck Hunt,5.666666666666667,85.8374539175056,3.0
Nintendogs,4.333333333333334,85.8677388305405,3.0
Mario Kart DS,1.333333333333333,66.7064095685941,3.0
Pokémon Silver,1.333333333333333,77.33333333333334,3.0
Wii Fit,56.33333333333334,94.1006406072521,3.0
Wii Fit Plus,27.66666666666667,91.9415335589686,3.0
Top Trumps Adventures!,18.0,96.21259114987764,
Grand Theft Auto V,1.666666666666667,65.11689542559145,6.0
Grand Theft Auto: San Andreas,4.666666666666666,75.20895488118481,6.0
Super Mario World,21.66666666666667,90.3362945726034,3.0
Brain Age: Train Your Brain in Minutes a Day!,56.33333333333334,94.1006406072521,3.0
Pearl6,14.66666666666667,91.32849036162592,
Super Mario Land,1.333333333333333,76.79475226766945,3.0
Super Mario Bros. 3,2.666666666666667,82.0,3.0
Grand Theft Auto V,4.0,91.87070498898844,6.0
Grand Theft Auto: Vice City,11.33333333333333,79.9189357471151,6.0
Pokémon Pinball: Ruby & Sapphire,1.333333333333333,85.1109099946228,3.0
Pokémon White,14.0,80.5455207146473,
Brain Age 2: More Training in Minutes a Day!,5.0,87.1006638986003,3.0
Gran Turismo 3: A-Spec,40.33333333333334,71.318534347575,3.0
Call of Duty: Modern Warfare 3,15.66666666666667,75.57029715885889,6.0
duplicate Pokémon Yellow: Special Pikachu Edition,15.66666666666667,75.57029715885889,3.0
Call of Duty: Black Ops,16.66666666666666,87.03250699316024,6.0
Pokémon Y,11.33333333333333,79.9189357471151,3.0
Call of Duty: Black Ops III,10.33333333333333,90.6700373186464,6.0
Call of Duty: Black Ops II,6.666666666666667,86.45907977744406,6.0
Call of Duty: Black Ops II,14.0,80.5455207146473,6.0
Call of Duty: Modern Warfare 2,2.333333333333333,75.74039120849525,6.0
Call of Duty: Modern Warfare 3,6.333333333333333,82.64167829414325,6.0
Grand Theft Auto III,7.0,92.91469643166266,6.0
Super Smash Bros. Brawl,56.33333333333334,94.1006406072521,5.0
Call of Duty: Black Ops,5.333333333333333,89.40718106002299,6.0
Animal Crossing: Wild World,22.0,89.55166404114046,3.0
Mario Kart 7,1.666666666666667,85.83184306689469,3.0
Halo 3,10.33333333333333,93.30954590512115,6.0
Grand Theft Auto V,4.0,82.711871685627,6.0
Pokémon SoulSilver,15.33333333333333,85.5248340198312,3.0
Super Mario 64,4.0,80.12514001309285,3.0
Gran Turismo 4,7.0,85.86487485345455,3.0
Super Mario Galaxy,2.666666666666667,84.56750826295479,3.0
Pokémon Omega Ruby,16.66666666666666,87.03250699316024,3.0
Super Mario Land 2: 6 Golden Coins,15.33333333333333,85.5248340198312,
Grand Theft Auto IV,3.0,77.5449247278319,6.0
Gran Turismo,22.0,89.55166404114046,3.0
Super Mario 3D Land,3.666666666666667,70.11512040500865,3.0
Gran Turismo 5,13.33333333333333,71.09451891265755,3.0
Call of Duty: Modern Warfare 2,9.666666666666666,88.5430928163347,6.0
Grand Theft Auto IV,5.333333333333333,81.40862868428115,6.0
Super Mario All-Stars,1.0,75.18827317988854,
Pokémon LeafGreen,9.0,85.49007766433,3.0
Super Mario 64,16.33333333333334,87.66441976114325,3.0
Just Dance 3,13.33333333333333,71.09451891265755,4.0
Call of Duty: Ghosts,1.333333333333333,69.35115076492279,6.0
Halo: Reach,4.0,83.5292692322499,6.0
Mario Kart 64,17.66666666666667,86.09390666868585,3.0
New Super Mario Bros. 2,8.666666666666668,82.7889505372805,3.0
Halo 4,28.0,82.65101932520349,6.0
Final Fantasy VII,12.66666666666667,88.64229841116509,5.0
Call of Duty: Ghosts,31.0,92.43058568770664,6.0
Just Dance 2,4.666666666666666,85.66594245466604,4.0
Gran Turismo 2,1.333333333333333,68.4220635996115,3.0
Call of Duty 4: Modern Warfare,9.0,82.5458715138706,6.0
Donkey Kong Country,2.333333333333333,68.6675835954568,3.0
Minecraft,8.333333333333332,81.92206293738306,4.0
Animal Crossing: New Leaf,6.666666666666667,NaN,3.0
Mario Party DS,8.333333333333332,90.63174135704624,
The Elder Scrolls V: Skyrim,3.666666666666667,86.20648407816076,6.0
Super Mario Kart,4.666666666666666,77.885726409258,3.0
FIFA 16,3.666666666666667,80.9526602153235,
Wii Party,9.333333333333334,78.74310993325635,3.0
Halo 2,16.33333333333334,93.3076509502772,6.0
Mario Party 8,15.66666666666667,72.85443349734456,3.0
Xenus 2: White gold,30.66666666666667,76.54274920556426,
FIFA Soccer,4.333333333333334,93.1980463155192,
The Sims 3,4.0,85.1138096232944,5.0
GoldenEye 007,8.666666666666668,77.8340406524038,
Mario & Luigi: Bowser's Inside Story + Bowser Jr's Journey,11.33333333333333,89.7883634537269,3.0
Final Fantasy X,15.33333333333333,77.4145583683147,5.0
Final Fantasy VIII,8.666666666666668,83.341023099231,5.0
Pokémon White Version 2,40.33333333333334,91.03100342902825,3.0
Pac-Man,2.666666666666667,71.318534347575,3.0
Grand Theft Auto: Liberty City Stories,15.33333333333333,49.4734289547795,6.0
Super Mario Galaxy 2,10.0,83.341023099231,3.0
Star Wars Battlefront II,19.33333333333333,81.20838384075505,5.0
Call of Duty: Advanced Warfare,9.333333333333334,87.22355259650661,6.0
The Legend of Zelda: Ocarina of Time,9.666666666666666,94.56174959199154,3.0
Crash Bandicoot 2: Cortex Strikes Back,32.0,89.61392518271566,3.0
Super Mario Bros. 2,3.0,83.54708006704784,3.0
Super Smash Bros. for Wii U,3.333333333333333,83.47491491203185,4.0
Call of Duty: World at War,8.333333333333332,71.81414220997235,6.0
Battlefield 3,10.0,78.54436574690365,6.0
The Legend of Zelda: Twilight Princess,1.666666666666667,81.20838384075505,5.0
Call of Duty: Black Ops III,14.0,84.72301909897524,6.0
Just Dance,9.666666666666666,90.65331187898504,4.0
Battlefield 3,1.333333333333333,79.3371247435536,6.0
Need for Speed: Underground 2,4.333333333333334,57.5,3.0
Tekken 3,21.0,87.29088427010456,5.0
Crash Bandicoot III: Warped - 15th Anniversary Edition,17.66666666666667,93.0823520470891,
Super Smash Bros. Melee,3.333333333333333,86.09390666868585,5.0
Mario Kart 8,1.666666666666667,78.95023471785694,3.0
Fallout 4,42.33333333333334,73.5,6.0
Mario Kart: Double Dash!!,4.666666666666666,91.5567340987991,3.0
Just Dance 4,31.0,83.4669093105208,4.0
FIFA 14,22.0,92.43058568770664,1.0
Need for Speed: Underground 2,7.666666666666667,77.35794175110496,3.0
Medal of Honor: Frontline,6.0,85.71778186207169,5.0
Uncharted 3: Drake's Deception,10.0,73.5482561968112,5.0
Crash Bandicoot,3.0,81.67757458873466,3.0
Zumba Fitness,42.33333333333334,74.8340950745968,3.0
Gears of War 2,5.333333333333333,91.5567340987991,6.0
Uncharted 2: Among Thieves,8.0,86.0595822981878,5.0
Call of Duty 4: Modern Warfare,3.0,84.35046569691426,6.0
FIFA 12,4.333333333333334,84.77960419737235,3.0
Big Brain Academy,7.0,88.939699943826,3.0
Red Dead Redemption,7.0,82.0853144296114,6.0
FIFA 15,18.66666666666667,88.4005294666359,
Donkey Kong Country Returns,16.66666666666666,90.5480466260494,3.0
The Elder Scrolls V: Skyrim,48.0,85.69681599839785,6.0
The Legend of Zelda,6.333333333333333,92.99717907274444,
Assassin's Creed III,4.0,89.0036877332434,6.0
Halo: Combat Evolved,3.333333333333333,87.55213862677326,6.0
Pokémon Emerald,4.333333333333334,83.99351598137955,3.0
Kingdom Hearts,1.333333333333333,NaN,3.0
duplicate Pokémon Crystal Version,40.0,84.18422751109856,
Halo 3: ODST,24.0,64.25,6.0
Red Dead Redemption,5.0,74.665475008671,6.0
Super Mario Sunshine,25.0,88.56983187184954,3.0
Street Fighter II: The World Warrior,25.33333333333333,83.3295677103331,
World of Warcraft,1.333333333333333,77.20536011663465,5.0
Driver,2.333333333333333,89.16367418821005,5.0
Kinect Sports,2.333333333333333,81.3655640725437,
Gears of War 3,2.333333333333333,80.0226732300722,6.0
Gears of War,18.0,81.28634954585505,6.0
Metal Gear Solid 2: Sons of Liberty,4.666666666666666,81.2634179884246,
Sonic the Hedgehog 2,11.33333333333333,96.21259114987764,3.0
Metal Gear Solid 4: Guns of the Patriots,28.0,67.4762750397483,6.0
Metal Gear Solid,7.666666666666667,77.4145583683147,6.0
The Last of Us,2.0,82.65101932520349,6.0
Final Fantasy XII,1.333333333333333,76.41418436306324,5.0
LittleBigPlanet,22.0,78.0306742706633,
Dragon Quest IX: Sentinels of the Starry Skies,11.66666666666667,61.6748196610095,4.0
LEGO Star Wars: The Complete Saga,2.0,77.35794175110496,4.0
Resident Evil 2,4.333333333333334,87.7737421745897,6.0
Tekken 2,24.0,70.86581196536895,5.0
Cooking Mama,3.333333333333333,70.3300876372373,3.0
Destiny,5.0,88.56983187184954,5.0
Tetris,4.333333333333334,84.9495701904996,
Assassin's Creed II,10.66666666666667,82.8267521115647,6.0
Super Smash Bros.,21.66666666666667,NaN,3.0
Assassin's Creed,1.0,85.3922051025621,6.0
Batman: Arkham City,5.333333333333333,81.70326279995905,5.0
Forza Motorsport 3,7.333333333333333,90.3362945726034,3.0
Monster Hunter Freedom Unite,3.0,78.6768642733683,5.0
Super Mario Advance,2.0,83.82702581578991,3.0
Mario Kart: Super Circuit,2.333333333333333,79.50544375952789,3.0
Super Mario World,5.666666666666667,74.8504328100889,3.0
Pokémon Stadium 2,15.66666666666667,NaN,3.0
Call of Duty: World at War,1.333333333333333,53.1273203405473,6.0
Crash Bandicoot: The Wrath of Cortex,10.0,77.8593809950042,
Minecraft,56.33333333333334,72.91175916163044,4.0
Final Fantasy XIII,4.0,76.54274920556426,5.0
Dr. Mario,13.0,86.16631992321891,3.0
Pokémon Pinball,4.666666666666666,78.78415821841776,3.0
Assassin's Creed III,3.333333333333333,94.1006406072521,6.0
Final Fantasy IX,8.666666666666668,74.5867360290467,5.0
Final Fantasy X-2,3.0,84.8355249320341,5.0
Donkey Kong 64,2.333333333333333,90.34598703135472,3.0
Assassin's Creed II,2.333333333333333,77.50399609055205,6.0
Professor Layton and the Curious Village,16.33333333333334,89.7883634537269,3.0
Tomb Raider II,1.333333333333333,NaN,5.0
Madden NFL 2004,11.0,78.5068588922215,3.0
Dragon Quest VIII: Journey of the Cursed King,1.333333333333333,65.5,5.0
Diablo III,3.333333333333333,84.49198700892435,6.0
Super Mario Bros. 3,1.333333333333333,87.0035695249461,3.0
New Super Mario Bros. U,2.0,65.36332179930795,3.0
Wario Land: Super Mario Land 3,16.0,84.29984099848845,
