name,popularity,total_rating,esrb
Apache: Air Assault,1.333333333333333,77.5,5.0
TOEIC Test: Jissen Tokkun,1.333333333333333,NaN,
Jikkyou Powerful Pro Yakyuu 2014,2.333333333333333,76.8687343318891,
Senran Kagura: Estival Versus,4.0,68.9531778722384,
Itoi Shigesato no Bass Tsuri No. 1,1.333333333333333,76.1480773678348,
Cubivore: Survival of the Fittest,1.333333333333333,75.16666666666666,3.0
The Sims 3: Seasons,1.333333333333333,62.5,5.0
Anarchy Reigns,1.0,NaN,6.0
FlatOut,1.333333333333333,NaN,5.0
Project X Zone 2,1.333333333333333,NaN,5.0
NCAA Basketball 09,1.333333333333333,77.6,3.0
Bakugan Battle Brawlers: Defenders of the Core,1.333333333333333,68.3333333333333,4.0
Mr. Do!'s Castle,4.333333333333334,NaN,
Death Trap,1.333333333333333,NaN,
Armor Ambush,4.666666666666666,NaN,
Parodius,1.666666666666667,77.5,
Thrillville: Off the Rails,1.0,NaN,
Hyperdimension Neptunia Victory,1.333333333333333,45.0,5.0
Taz: Wanted,1.333333333333333,54.0,3.0
Mobile Suit Gundam Extreme Vs-Force,1.333333333333333,75.0,
Sid Meier's Pirates!,1.333333333333333,72.92064448665195,
MLB 16: The Show - duplicate,1.333333333333333,61.66666666666665,
Phantasy Star Online 2,1.333333333333333,74.042923940965,5.0
Motor Mayhem,5.666666666666667,NaN,
PoPoLoCrois,1.333333333333333,65.91666666666666,3.0
Star Wars: Super Bombad Racing,1.333333333333333,80.0,3.0
Hamster Heroes,1.666666666666667,70.0,3.0
Hot Wheels Velocity X,4.666666666666666,65.0,3.0
Ar nosurge: Ode to an Unborn Star,1.333333333333333,65.1666666666667,5.0
Chaotic: Shadow Warriors,2.0,40.0,4.0
Leisure Suit Larry: Box Office Bust,1.333333333333333,30.0,6.0
Alien Resurrection,1.333333333333333,NaN,
World Tour Soccer 2005,1.0,53.47876672081535,3.0
Dungeon Siege: Throne of Agony,1.333333333333333,65.98988391339545,5.0
Spider-Man: Web of Shadows,1.333333333333333,60.0,5.0
F1 2011,1.333333333333333,81.0,
Rio,1.0,NaN,
Gunslingers,1.333333333333333,43.3333333333333,
Create,1.333333333333333,NaN,3.0
Lufia: Curse of the Sinistrals,1.666666666666667,83.5,
El Shaddai: Ascension of the Metatron,1.666666666666667,NaN,5.0
ESPN College Hoops,1.333333333333333,50.0,3.0
Thor: God of Thunder,1.333333333333333,79.5,5.0
F1 Championship Season 2000,1.333333333333333,NaN,
Guilty Gear Judgment,1.333333333333333,66.0,
Pen 1 Grand Prix: Penguin no Mondai Special,1.333333333333333,61.14285714285715,
Clash of the Titans,1.333333333333333,65.0,
Around the World in 80 days,2.333333333333333,30.0,
Robotech: Battlecry,1.333333333333333,72.0,5.0
True Swing Golf,1.333333333333333,83.80379572891165,3.0
Zapper One Wicked Cricket!,1.666666666666667,63.6666666666667,
Bomberman Land,1.333333333333333,70.0,
Paws & Claws Pampered Pets Resort 3D,1.666666666666667,60.5,
Kya: Dark Lineage,1.666666666666667,83.3124618449252,5.0
Dynasty Warriors 8: Xtreme Legends,6.666666666666667,57.0,5.0
Curious George,1.333333333333333,60.25,3.0
Monster Jam,1.666666666666667,69.0,3.0
Medieval Games,1.333333333333333,57.5,4.0
Stronghold 3,1.333333333333333,63.13622991114025,5.0
The Amazing Spider-Man,1.333333333333333,73.0,5.0
Kid Adventures: Sky Captain,1.333333333333333,60.0,3.0
Lethal Skies II,2.0,79.9882936916735,5.0
Doctor Lautrec and the Forgotten Knights,15.33333333333333,76.5,
American Dragon: Jake Long: Attack of the Dark Dragon,3.666666666666667,30.0,3.0
Godzilla: Unleashed,1.333333333333333,57.0492050154183,4.0
Kamaitachi no Yoru,1.333333333333333,NaN,
Tom and Jerry: Infurnal Escape,1.333333333333333,40.0,3.0
The Legend of Heroes: Zero no Kiseki,1.333333333333333,NaN,
Warriors Orochi 3,5.666666666666667,64.2,5.0
King's Field,1.666666666666667,NaN,
Hannah Montana: Rock out the Show,1.333333333333333,NaN,3.0
Let's Ride!: Sunshine Stables,1.333333333333333,50.0,
World Stadium 4,3.0,NaN,
Midway Arcade Treasures 2,1.666666666666667,64.1861794659216,6.0
Hot Wheels World Race,2.333333333333333,55.0,
San Goku Shi,1.333333333333333,85.3237129331985,
Kawa no Nushi Tsuri,1.333333333333333,NaN,
N2O: Nitrous Oxide,6.0,NaN,
Magic: The Gathering – Battlegrounds,1.666666666666667,NaN,5.0
Heroes Over Europe,1.333333333333333,NaN,
Dancing with the Stars,1.0,89.0362439341628,4.0
Major League Baseball 2K12,1.666666666666667,90.0,3.0
Pro Evolution Soccer 2015,1.333333333333333,NaN,
Bladestorm: Nightmare,1.333333333333333,NaN,5.0
Otogirisou,5.666666666666667,NaN,
SD Gundam G Generation 3D,1.333333333333333,77.8008335428729,
Crash Tag Team Racing,4.666666666666666,74.33333333333334,
Grease Dance,1.333333333333333,63.5,5.0
Ready 2 Rumble: Revolution,2.666666666666667,65.12135305724105,5.0
My Baby 3 & Friends,7.666666666666667,72.8904081880643,
NASCAR '14,1.333333333333333,75.0,3.0
TimeSplitters: Future Perfect,1.333333333333333,57.5,6.0
Midway Arcade Treasures 3,2.666666666666667,55.0,3.0
Dr. Muto,2.0,80.0,5.0
Beowulf: The Game,1.333333333333333,84.0268751126489,
Puzzle Quest: Galactrix,2.333333333333333,56.2663219628854,4.0
Kanji Sono Mama Rakubiki Jiten,1.333333333333333,86.3333333333333,
SeaWorld Adventure Parks: Shamu's Deep Sea Adventures,6.333333333333333,72.5,
Fatal Frame II: Crimson Butterfly,1.333333333333333,NaN,6.0
Angry Birds Trilogy,1.666666666666667,83.7363519885001,3.0
Dewy's Adventure,1.333333333333333,76.66780318303505,3.0
Shadow Man: 2econd Coming,1.666666666666667,NaN,6.0
Yu-Gi-Oh! 5D's Tag Force 5,22.66666666666667,70.94185398476685,
