name,esrb,popularity,hypes,total_rating
Castlevania: Lords of Shadow,"{'synopsis': ""This is an action-adventure game in which players control a warrior named Gabriel as he battles the forces of darkness. Gabriel uses a bladed whip as well as large hammers, swords, spears, and axes to kill human and fantasy creatures (e.g., werewolves, vampires, goblins, demons). Combat includes depictions of repeated punching, slashing, and occasional stabbing or breaking of bones. Blood-splatter effects occur during battle, and blood stains can be seen in the environment. One scene depicts a butcher chopping up corpses and feeding them to vampire creatures; boss fights may also contain instances of gore, including dismemberment of a monster's arm. Some female creatures (e.g., green fairies and a dragon-like female) appear topless throughout the game."", 'rating': 6}",1.333333333333333,NaN,76.8661061796085
Bioshock Infinite,"{'synopsis': 'This is a first-person shooter, set in a fictional city-in-the sky (Columbia), in which players assume the role of a private investigator searching for a mysterious woman. As players explore the city, they encounter a variety of armed guards, thugs, and mechanical creations that attack the central character. Players use pistols, shotguns, rifles, and machine guns to kill these enemies. A three-pronged hook can be used to dismember and decapitate several enemies. Players can also use an assortment of special powers to defeat enemies (e.g., setting characters on fire, electrocuting them). Large blood-splatter effects occur when characters are injured. Enemies are also depicted beating themselves with a bat or shooting themselves in the head when they are possessed; during one sequence, a character intentionally sets herself on fire. During the course of the game, characters sometimes engage in suggestive/sexual dialogue (e.g., “Obscenity and fornication everywhere!”“Could use a good roll in the hay after this,”“I think yeh gave me the clap, ya dirty boy…”). The game allows players\' character to obtain ""health"" by consuming beer and whiskey; the screen turns fuzzy and distorted if the player consumes too many drinks. The social/political backdrop of the fictional city (set in the year 1912) includes the use of derogatory ethnic/racial terms (e.g., the words ""gook,""""chink,""""negroes,""""injuns,""""crackers""); language such as ""sh*t"" can also be heard in dialogue.', 'rating': 6}",1.666666666666667,NaN,70.63639815786105
Minecraft: Story Mode,NaN,1.333333333333333,NaN,62.3167414030195
TV Show King Party,{'rating': 3},1.333333333333333,NaN,78.81407500308916
Crafting Mama,NaN,2.333333333333333,NaN,79.5
007: Quantum of Solace,{'rating': 5},12.0,NaN,60.6666666666667
Rock Band 3,"{'synopsis': 'This is a music and rhythm simulation game in which players perform songs along with on-screen avatars. Players simulate playing guitar, bass, or drums and are scored based on the accuracy of notes hit. Some song lyrics contain references to drugs (e.g., ""I\'d like to buy the world a toke"" and ""Put away the crack before the crack puts you away"") and suggestive themes (e.g., ""It\'s as anatomic as the size of your steeple"" and ""while the preacher is teasing all the pretty little boys""). Players can customize various aspects of the avatars\' appearance, including their outfits; some outfits are revealing (e.g., cleavage, garter belts and fishnet stockings), and others include suggestive names and descriptions (e.g., ""Studded for your pleasure,"" ""Like a Virgin,"" and ""Melange a Trois""). During one cutscene, a character stumbles around drunk as his vision gets blurry; another scene involves a character drinking from a beer bottle on stage.', 'rating': 5}",1.333333333333333,NaN,75.625
Command & Conquer: Red Alert 3 – Uprising,{'rating': 5},1.666666666666667,NaN,66.0
The Fairly OddParents: Breakin' da Rules,{'rating': 3},2.666666666666667,NaN,NaN
WWE SmackDown vs. Raw 2007,{'rating': 5},1.333333333333333,NaN,60.0
Peppa Pig: Fun and Games,NaN,3.0,NaN,63.49045457391065
Adventures of Tron,NaN,3.0,NaN,64.6
Phoenix Wright: Ace Attorney: Trials and Tribulations,{'rating': 5},1.333333333333333,NaN,68.22919926219666
