name,esrb,popularity,hypes,total_rating
Apache: Air Assault,{'rating': 5},1.333333333333333,NaN,77.5
TOEIC Test: Jissen Tokkun,NaN,1.333333333333333,NaN,NaN
Jikkyou Powerful Pro Yakyuu 2014,NaN,2.333333333333333,NaN,76.8687343318891
Senran Kagura: Estival Versus,NaN,4.0,NaN,68.9531778722384
Itoi Shigesato no Bass Tsuri No. 1,NaN,1.333333333333333,NaN,76.1480773678348
Cubivore: Survival of the Fittest,{'rating': 3},1.333333333333333,NaN,75.16666666666666
The Sims 3: Seasons,{'rating': 5},1.333333333333333,NaN,62.5
Anarchy Reigns,{'rating': 6},1.0,NaN,NaN
FlatOut,{'rating': 5},1.333333333333333,NaN,NaN
Project X Zone 2,"{'synopsis': 'This is a strategy role-playing game in which players follow the story of two government agents trying to save the world. Players move characters around a grid and engage in turn-based combat with a variety of fantastical enemies (e.g., zombies, demons). Players select moves from a menu and view characters punching and kicking each other; some characters use guns, swords, or magic/energy/elemental attacks. A handful of attacks result in brief splashes or stains of red blood. Some female characters are depicted wearing outfits that barely cover their breasts and/or buttocks; low camera angles occasionally highlight cleavage or jiggling breasts. The game also contains suggestive dialogue: “I guess keeping your libido pent up all day has its advantages after all”; “Reiji only gets off on the company of women or the camaraderie of true friends”; “Did you get… boobier?” The word “sh*thead” appears in the dialogue.', 'rating': 5}",1.333333333333333,NaN,NaN
NCAA Basketball 09,{'rating': 3},1.333333333333333,NaN,77.6
Bakugan Battle Brawlers: Defenders of the Core,{'rating': 4},1.333333333333333,NaN,68.3333333333333
Mr. Do!'s Castle,NaN,4.333333333333334,NaN,NaN
Death Trap,NaN,1.333333333333333,NaN,NaN
Armor Ambush,NaN,4.666666666666666,NaN,NaN
Parodius,NaN,1.666666666666667,NaN,77.5
Thrillville: Off the Rails,NaN,1.0,NaN,NaN
Hyperdimension Neptunia Victory,"{'synopsis': ""This is a role-playing game in which players control a young goddess on a quest to return home from an alternate dimension. As players advance the storyline, they use swords, lances, guns, and colorful light attacks against fantasy creatures (e.g., plants monsters, dragons, robots). Combat is turn-based, and damage is indicated by impact sounds and a loss of hit points. During the course of the game, some female characters are dressed in low-cut outfits that expose large amounts of cleavage and/or buttocks; one bathing sequence depicts female bodies partially obscured by hot-spring mist and soap suds. Characters also make several suggestive/sexual comments (e.g., “Are those boobies? Mine get big when I transform” “Wait, is she a dominatrix…?” “I'm sorry for all the foreplay” and “Even if you get groped a bit, or get into some kinky stuff, you'll end up able to transform.”). The words “sh*t,” “a*shole,” and “b*tch” appear in the dialogue."", 'rating': 5}",1.333333333333333,NaN,45.0
Taz: Wanted,{'rating': 3},1.333333333333333,NaN,54.0
Mobile Suit Gundam Extreme Vs-Force,NaN,1.333333333333333,NaN,75.0
Sid Meier's Pirates!,NaN,1.333333333333333,NaN,72.92064448665195
MLB 16: The Show - duplicate,NaN,1.333333333333333,NaN,61.66666666666665
Phantasy Star Online 2,"{'synopsis': '', 'rating': 5}",1.333333333333333,NaN,74.042923940965
Motor Mayhem,NaN,5.666666666666667,NaN,NaN
PoPoLoCrois,{'rating': 3},1.333333333333333,NaN,65.91666666666666
Star Wars: Super Bombad Racing,{'rating': 3},1.333333333333333,NaN,80.0
Hamster Heroes,{'rating': 3},1.666666666666667,NaN,70.0
Hot Wheels Velocity X,{'rating': 3},4.666666666666666,NaN,65.0
Ar nosurge: Ode to an Unborn Star,{'rating': 5},1.333333333333333,NaN,65.1666666666667
Chaotic: Shadow Warriors,{'rating': 4},2.0,NaN,40.0
Leisure Suit Larry: Box Office Bust,"{'synopsis': 'This is an adventure game in which players follow the exploits of Larry Lovage in a quest to save his uncles\' movie studio from saboteurs. As Larry tries to identify the ""mole"" inside his uncle\'s vast studio lot, he pursues the affections of dozens of women along the way. The game contains frequent sexual references and innuendo, usually delivered with a tongue-and-cheek style that aims to be humorous: There are jokes about masturbation, penis size, bestiality, inflatable sheep, lesbians, oral sex, and pornography (e.g., ""I had to retire from porn, it became too much – I couldn\'t swallow it any more""); everyday objects and environmental features (e.g., statues, cacti, architecture) are sometimes stylized to resemble male genitalia or breasts; players can take photos of females kissing, moaning, and rubbing themselves or each other, then hearing comments about the snapshots (e.g., ""That one even gave the camera w*od""). Several females are depicted from low/close-up angles, have exaggerated breast-sizes, and wear clothing that reveals deep cleavage or portions of their buttocks. Although the game contains no explicit nudity or sexual scenes, there are occasional depictions of phallic sex toys and the sounds of women moaning in the background. Some of the over-the-top humor also contains references to getting ""stoned"" and being spiked with Rohypnol, a date rape drug (e.g., ""Was I roofied? Is my...bleeding?""). Players can hear frequent profanity (e.g., ""f*ck,""""sh*t,"" and ""p*ssy"") as well as some less conventional terms (e.g., ""c*ntsplices"" and ""c*nterbalance"") in the dialogue. During the course of the game, players can hit zombies with a shovel, engage in brief hand-to-hand combat against enemy goons, and shoot bandits with a pistol on a western movie set. When players enter a haunted mansion, they can see bloodstains and severed limbs and torsos on a table.', 'rating': 6}",1.333333333333333,NaN,30.0
Alien Resurrection,NaN,1.333333333333333,NaN,NaN
World Tour Soccer 2005,{'rating': 3},1.0,NaN,53.47876672081535
Dungeon Siege: Throne of Agony,{'rating': 5},1.333333333333333,NaN,65.98988391339545
Spider-Man: Web of Shadows,{'rating': 5},1.333333333333333,NaN,60.0
F1 2011,NaN,1.333333333333333,NaN,81.0
Rio,NaN,1.0,NaN,NaN
Gunslingers,NaN,1.333333333333333,NaN,43.3333333333333
Create,{'rating': 3},1.333333333333333,NaN,NaN
Lufia: Curse of the Sinistrals,NaN,1.666666666666667,NaN,83.5
El Shaddai: Ascension of the Metatron,{'rating': 5},1.666666666666667,NaN,NaN
ESPN College Hoops,{'rating': 3},1.333333333333333,NaN,50.0
Thor: God of Thunder,"{'synopsis': '3DS Version:\r\nThis is an action-adventure game in which players assume the role of Thor, a mythical god who battles evil forces. Players use an oversized hammer and elemental attacks (e.g., lightning, earthquakes) to hack through hordes of demons, trolls, and giants. Battles can become somewhat frenetic; loud explosions and punching sounds are heard during each attack, and defeated enemies disintegrate into the air. In one cutscene, a couple of characters are slashed in half and impaled with a sword, resulting in brief splashes of yellow liquid.', 'rating': 5}",1.333333333333333,NaN,79.5
F1 Championship Season 2000,NaN,1.333333333333333,NaN,NaN
Guilty Gear Judgment,NaN,1.333333333333333,NaN,66.0
